site_code,n_nodes,node,matrix_col,parent_site,child_num,MPG,POP_NAME,TRT_POPID
LB8,2,LB8_U,198,LRW,2,Salmon River,Lemhi River,SRLEM-s
LBS,3,LBS_D,199,LRW,3,Salmon River,Lemhi River,SRLEM-s
LBS,3,LBS_M,200,LRW,3,Salmon River,Lemhi River,SRLEM-s
LBS,3,LBS_U,201,LRW,3,Salmon River,Lemhi River,SRLEM-s
LCL,3,LCL_D,202,LRW,4,Salmon River,Lemhi River,SRLEM-s
LCL,3,LCL_M,203,LRW,4,Salmon River,Lemhi River,SRLEM-s
LCL,3,LCL_U,204,LRW,4,Salmon River,Lemhi River,SRLEM-s
BTL,3,BTL_D,205,LRW,5,Salmon River,Lemhi River,SRLEM-s
BTL,3,BTL_M,206,LRW,5,Salmon River,Lemhi River,SRLEM-s
BTL,3,BTL_U,207,LRW,5,Salmon River,Lemhi River,SRLEM-s
CAC,2,CAC_D,208,LRW,6,Salmon River,Lemhi River,SRLEM-s
CAC,2,CAC_U,209,LRW,6,Salmon River,Lemhi River,SRLEM-s
18M,3,18M_D,210,LRW,7,Salmon River,Lemhi River,SRLEM-s
18M,3,18M_M,211,LRW,7,Salmon River,Lemhi River,SRLEM-s
18M,3,18M_U,212,LRW,7,Salmon River,Lemhi River,SRLEM-s
BTM,3,BTM_D,213,BTL,1,Salmon River,Lemhi River,SRLEM-s
BTM,3,BTM_M,214,BTL,1,Salmon River,Lemhi River,SRLEM-s
BTM,3,BTM_U,215,BTL,1,Salmon River,Lemhi River,SRLEM-s
BTU,2,BTU_D,216,BTM,1,Salmon River,Lemhi River,SRLEM-s
BTU,2,BTU_U,217,BTM,1,Salmon River,Lemhi River,SRLEM-s
USE,1,USE,218,GRA,31,Salmon River,Pahsimeroi River,SRPAH-s
USI,1,USI,219,USE,1,Salmon River,East Fork Salmon River,SREFS-s
USI,1,USI,219,USE,1,Salmon River,Pahsimeroi River,SRPAH-s
USI,1,USI,219,USE,1,Salmon River,Salmon River upper mainstem,SRUMA-s
PAHH,1,PAHH,220,USI,1,Salmon River,Pahsimeroi River,SRPAH-s
SALEFT,1,SALEFT,221,USI,2,Salmon River,East Fork Salmon River,SREFS-s
YFK,2,YFK_D,222,USI,3,Salmon River,Salmon River upper mainstem,SRUMA-s
YFK,2,YFK_U,223,USI,3,Salmon River,Salmon River upper mainstem,SRUMA-s
VC2,2,VC2_D,224,USI,4,Salmon River,Salmon River upper mainstem,SRUMA-s
VC2,2,VC2_U,225,USI,4,Salmon River,Salmon River upper mainstem,SRUMA-s
VC1,2,VC1_D,226,VC2,1,Salmon River,Salmon River upper mainstem,SRUMA-s
VC1,2,VC1_U,227,VC2,1,Salmon River,Salmon River upper mainstem,SRUMA-s
RFL,1,RFL,228,USI,5,Salmon River,Salmon River upper mainstem,SRUMA-s
SAWT,1,SAWT,229,STL,1,Salmon River,Salmon River upper mainstem,SRUMA-s
STL,1,STL,230,USI,6,Salmon River,Salmon River upper mainstem,SRUMA-s
